,0
KC,6.801153903341947
BAL,5.911396675802528
NO,5.2724875957267985
GB,5.108391398038647
TB,5.004348797910454
SEA,4.347142422985147
PIT,3.102804165606292
BUF,3.098615488274656
LAR,2.9376815068238513
IND,2.9193554398311066
TEN,2.2249892351240326
ARI,1.4026806813543902
HFA,1.124075819642873
CLE,0.8327167672415628
MIN,0.6889204929522057
NE,0.3427147638789403
SF,0.2042086545163555
LAC,-0.039801573888880386
LVR,-0.5927147307025917
HOU,-0.97783257968652
ATL,-1.2016969309445087
MIA,-1.2533438509208805
CHI,-1.7492809092722468
PHI,-1.8440114452369538
CAR,-2.3713987513011876
DAL,-2.560325635890162
DET,-2.6752257718489174
WAS,-4.17049666067963
DEN,-4.366285775499386
NYG,-5.184334284410664
CIN,-6.293379829925777
JAX,-7.00211114035489
NYJ,-7.917368118845697
