schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,pr_spread,pr_total,pr_hfa,in_div,in_conf
9/5/2019,2019,1,False,CHI,3.0,10.0,GB,CHI,3.0,46.5,False,,,,True,True
9/8/2019,2019,1,False,ARI,27.0,27.0,DET,DET,-3.0,45.5,False,,,,False,True
9/8/2019,2019,1,False,CAR,27.0,30.0,LAR,LAR,-2.0,49.5,False,,,,False,True
9/8/2019,2019,1,False,CLE,13.0,43.0,TEN,CLE,5.5,44.0,False,,,,False,True
9/8/2019,2019,1,False,DAL,35.0,17.0,NYG,DAL,7.0,44.0,False,,,,True,True
9/8/2019,2019,1,False,JAX,26.0,40.0,KC,KC,-3.5,49.0,False,,,,False,True
9/8/2019,2019,1,False,LAC,30.0,24.0,IND,LAC,6.0,44.5,False,,,,False,True
9/8/2019,2019,1,False,MIA,10.0,59.0,BAL,BAL,-7.0,40.5,False,,,,False,True
9/8/2019,2019,1,False,MIN,28.0,12.0,ATL,MIN,3.5,47.0,False,,,,False,True
9/8/2019,2019,1,False,NE,33.0,3.0,PIT,NE,5.5,49.0,False,,,,False,True
9/8/2019,2019,1,False,NYJ,16.0,17.0,BUF,NYJ,2.5,41.0,False,,,,True,True
9/8/2019,2019,1,False,PHI,32.0,27.0,WAS,PHI,10.0,44.5,False,,,,True,True
9/8/2019,2019,1,False,SEA,21.0,20.0,CIN,SEA,9.0,44.0,False,,,,False,False
9/8/2019,2019,1,False,TB,17.0,31.0,SF,TB,1.0,51.0,False,,,,False,True
9/9/2019,2019,1,False,NO,30.0,28.0,HOU,NO,6.5,51.5,False,,,,False,False
9/9/2019,2019,1,False,LVR,24.0,16.0,DEN,DEN,-3.0,42.5,False,,,,True,True
9/12/2019,2019,2,False,CAR,14.0,20.0,TB,CAR,6.5,48.0,False,,,,True,True
9/15/2019,2019,2,False,ATL,24.0,20.0,PHI,PHI,-1.0,53.0,False,,,,False,True
9/15/2019,2019,2,False,BAL,23.0,17.0,ARI,BAL,13.0,45.5,False,,,,False,False
9/15/2019,2019,2,False,CIN,17.0,41.0,SF,CIN,1.0,46.0,False,,,,False,False
9/15/2019,2019,2,False,DEN,14.0,16.0,CHI,CHI,-3.0,40.5,False,,,,False,False
9/15/2019,2019,2,False,DET,13.0,10.0,LAC,LAC,-1.0,46.5,False,,,,False,False
9/15/2019,2019,2,False,GB,21.0,16.0,MIN,GB,3.0,43.0,False,,,,True,True
9/15/2019,2019,2,False,HOU,13.0,12.0,JAX,HOU,7.0,43.0,False,,,,True,True
9/15/2019,2019,2,False,LAR,27.0,9.0,NO,LAR,2.0,52.0,False,,,,False,True
9/15/2019,2019,2,False,MIA,0.0,43.0,NE,NE,-18.0,48.5,False,,,,True,True
9/15/2019,2019,2,False,NYG,14.0,28.0,BUF,BUF,-1.0,44.5,False,,,,False,False
9/15/2019,2019,2,False,LVR,10.0,28.0,KC,KC,-7.0,53.0,False,,,,True,True
9/15/2019,2019,2,False,PIT,26.0,28.0,SEA,PIT,4.0,47.0,False,,,,False,False
