schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_spread,pr_total,pr_hfa,in_div,in_conf
9/9/2021,2021,1,TB,,,DAL,,,,False,True
9/12/2021,2021,1,ATL,,,PHI,,,,False,True
9/12/2021,2021,1,BUF,,,PIT,,,,False,True
9/12/2021,2021,1,CAR,,,NYJ,,,,False,False
9/12/2021,2021,1,CIN,,,MIN,,,,False,False
9/12/2021,2021,1,IND,,,SEA,,,,False,False
9/12/2021,2021,1,DET,,,SF,,,,False,True
9/12/2021,2021,1,HOU,,,JAX,,,,True,True
9/12/2021,2021,1,TEN,,,ARI,,,,False,False
9/12/2021,2021,1,WAS,,,LAC,,,,False,False
9/12/2021,2021,1,KC,,,CLE,,,,False,True
9/12/2021,2021,1,NO,,,GB,,,,False,True
9/12/2021,2021,1,NE,,,MIA,,,,True,True
9/12/2021,2021,1,NYG,,,DEN,,,,False,False
9/12/2021,2021,1,LAR,,,CHI,,,,False,True
9/13/2021,2021,1,LVR,,,BAL,,,,False,True
9/16/2021,2021,2,WAS,,,NYG,,,,True,True
9/19/2021,2021,2,CAR,,,NO,,,,True,True
9/19/2021,2021,2,CHI,,,CIN,,,,False,False
9/19/2021,2021,2,CLE,,,HOU,,,,False,True
9/19/2021,2021,2,IND,,,LAR,,,,False,False
9/19/2021,2021,2,JAX,,,DEN,,,,False,True
9/19/2021,2021,2,MIA,,,BUF,,,,True,True
9/19/2021,2021,2,NYJ,,,NE,,,,True,True
9/19/2021,2021,2,PHI,,,SF,,,,False,True
9/19/2021,2021,2,PIT,,,LVR,,,,False,True
9/19/2021,2021,2,ARI,,,MIN,,,,False,True
9/19/2021,2021,2,TB,,,ATL,,,,True,True
9/19/2021,2021,2,LAC,,,DAL,,,,False,False
9/19/2021,2021,2,SEA,,,TEN,,,,False,False
9/19/2021,2021,2,BAL,,,KC,,,,False,True
9/20/2021,2021,2,GB,,,DET,,,,True,True
9/23/2021,2021,3,HOU,,,CAR,,,,False,False
9/26/2021,2021,3,BUF,,,WAS,,,,False,False
9/26/2021,2021,3,CLE,,,CHI,,,,False,False
9/26/2021,2021,3,DET,,,BAL,,,,False,False
9/26/2021,2021,3,JAX,,,ARI,,,,False,False
9/26/2021,2021,3,KC,,,LAC,,,,True,True
9/26/2021,2021,3,NE,,,NO,,,,False,False
9/26/2021,2021,3,NYG,,,ATL,,,,False,True
9/26/2021,2021,3,TEN,,,IND,,,,True,True
9/26/2021,2021,3,PIT,,,CIN,,,,True,True
9/26/2021,2021,3,DEN,,,NYJ,,,,False,True
9/26/2021,2021,3,LVR,,,MIA,,,,False,True
9/26/2021,2021,3,MIN,,,SEA,,,,False,True
9/26/2021,2021,3,LAR,,,TB,,,,False,True
9/26/2021,2021,3,SF,,,GB,,,,False,True
9/27/2021,2021,3,DAL,,,PHI,,,,True,True
9/30/2021,2021,4,CIN,,,JAX,,,,False,True
10/3/2021,2021,4,ATL,,,WAS,,,,False,True
10/3/2021,2021,4,BUF,,,HOU,,,,False,True
10/3/2021,2021,4,CHI,,,DET,,,,True,True
10/3/2021,2021,4,DAL,,,CAR,,,,False,True
10/3/2021,2021,4,MIA,,,IND,,,,False,True
10/3/2021,2021,4,MIN,,,CLE,,,,False,False
10/3/2021,2021,4,NO,,,NYG,,,,False,True
10/3/2021,2021,4,NYJ,,,TEN,,,,False,True
10/3/2021,2021,4,PHI,,,KC,,,,False,False
10/3/2021,2021,4,LAR,,,ARI,,,,True,True
10/3/2021,2021,4,SF,,,SEA,,,,True,True
10/3/2021,2021,4,DEN,,,BAL,,,,False,True
10/3/2021,2021,4,GB,,,PIT,,,,False,False
10/3/2021,2021,4,NE,,,TB,,,,False,False
10/4/2021,2021,4,LAC,,,LVR,,,,True,True
10/7/2021,2021,5,SEA,,,LAR,,,,True,True
10/10/2021,2021,5,ATL,,,NYJ,,,,False,False
10/10/2021,2021,5,CAR,,,PHI,,,,False,True
10/10/2021,2021,5,CIN,,,GB,,,,False,False
10/10/2021,2021,5,HOU,,,NE,,,,False,True
10/10/2021,2021,5,JAX,,,TEN,,,,True,True
10/10/2021,2021,5,MIN,,,DET,,,,True,True
10/10/2021,2021,5,PIT,,,DEN,,,,False,True
10/10/2021,2021,5,TB,,,MIA,,,,False,False
10/10/2021,2021,5,WAS,,,NO,,,,False,True
10/10/2021,2021,5,LVR,,,CHI,,,,False,False
10/10/2021,2021,5,LAC,,,CLE,,,,False,True
10/10/2021,2021,5,ARI,,,SF,,,,True,True
10/10/2021,2021,5,DAL,,,NYG,,,,True,True
10/10/2021,2021,5,KC,,,BUF,,,,False,True
10/11/2021,2021,5,BAL,,,IND,,,,False,True
10/14/2021,2021,6,PHI,,,TB,,,,False,True
10/17/2021,2021,6,JAX,,,MIA,,,,False,True
10/17/2021,2021,6,CAR,,,MIN,,,,False,True
10/17/2021,2021,6,CHI,,,GB,,,,True,True
10/17/2021,2021,6,IND,,,HOU,,,,True,True
10/17/2021,2021,6,DET,,,CIN,,,,False,False
10/17/2021,2021,6,NYG,,,LAR,,,,False,True
10/17/2021,2021,6,BAL,,,LAC,,,,False,True
10/17/2021,2021,6,WAS,,,KC,,,,False,False
10/17/2021,2021,6,CLE,,,ARI,,,,False,False
10/17/2021,2021,6,DEN,,,LVR,,,,True,True
10/17/2021,2021,6,NE,,,DAL,,,,False,False
10/17/2021,2021,6,PIT,,,SEA,,,,False,False
10/18/2021,2021,6,TEN,,,BUF,,,,False,True
10/21/2021,2021,7,CLE,,,DEN,,,,False,True
10/24/2021,2021,7,GB,,,WAS,,,,False,True
10/24/2021,2021,7,MIA,,,ATL,,,,False,False
10/24/2021,2021,7,NE,,,NYJ,,,,True,True
10/24/2021,2021,7,NYG,,,CAR,,,,False,True
10/24/2021,2021,7,TEN,,,KC,,,,False,True
10/24/2021,2021,7,BAL,,,CIN,,,,True,True
10/24/2021,2021,7,LVR,,,PHI,,,,False,False
10/24/2021,2021,7,LAR,,,DET,,,,False,True
10/24/2021,2021,7,ARI,,,HOU,,,,False,False
10/24/2021,2021,7,TB,,,CHI,,,,False,True
10/24/2021,2021,7,SF,,,IND,,,,False,False
10/25/2021,2021,7,SEA,,,NO,,,,False,True
10/28/2021,2021,8,ARI,,,GB,,,,False,True
10/31/2021,2021,8,ATL,,,CAR,,,,True,True
10/31/2021,2021,8,BUF,,,MIA,,,,True,True
10/31/2021,2021,8,CHI,,,SF,,,,False,True
10/31/2021,2021,8,CLE,,,PIT,,,,True,True
10/31/2021,2021,8,IND,,,TEN,,,,True,True
10/31/2021,2021,8,DET,,,PHI,,,,False,True
10/31/2021,2021,8,HOU,,,LAR,,,,False,False
10/31/2021,2021,8,NYJ,,,CIN,,,,False,True
10/31/2021,2021,8,LAC,,,NE,,,,False,True
10/31/2021,2021,8,SEA,,,JAX,,,,False,False
10/31/2021,2021,8,DEN,,,WAS,,,,False,False
10/31/2021,2021,8,NO,,,TB,,,,True,True
10/31/2021,2021,8,MIN,,,DAL,,,,False,True
11/1/2021,2021,8,KC,,,NYG,,,,False,False
11/4/2021,2021,9,IND,,,NYJ,,,,False,True
11/7/2021,2021,9,CAR,,,NE,,,,False,False
11/7/2021,2021,9,CIN,,,CLE,,,,True,True
11/7/2021,2021,9,DAL,,,DEN,,,,False,False
11/7/2021,2021,9,JAX,,,BUF,,,,False,True
11/7/2021,2021,9,MIA,,,HOU,,,,False,True
