schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf
9/9/21,2021,1,TB,,,DAL,,,FALSE,TRUE
9/12/21,2021,1,ATL,,,PHI,,,FALSE,TRUE
9/12/21,2021,1,BUF,,,PIT,,,FALSE,TRUE
9/12/21,2021,1,CAR,,,NYJ,,,FALSE,FALSE
9/12/21,2021,1,CIN,,,MIN,,,FALSE,FALSE
9/12/21,2021,1,IND,,,SEA,,,FALSE,FALSE
9/12/21,2021,1,DET,,,SF,,,FALSE,TRUE
9/12/21,2021,1,HOU,,,JAX,,,TRUE,TRUE
9/12/21,2021,1,TEN,,,ARI,,,FALSE,FALSE
9/12/21,2021,1,WAS,,,LAC,,,FALSE,FALSE
9/12/21,2021,1,KC,,,CLE,,,FALSE,TRUE
9/12/21,2021,1,NO,,,GB,,,FALSE,TRUE
9/12/21,2021,1,NE,,,MIA,,,TRUE,TRUE
9/12/21,2021,1,NYG,,,DEN,,,FALSE,FALSE
9/12/21,2021,1,LAR,,,CHI,,,FALSE,TRUE
9/13/21,2021,1,LVR,,,BAL,,,FALSE,TRUE
9/16/21,2021,2,WAS,,,NYG,,,TRUE,TRUE
9/19/21,2021,2,CAR,,,NO,,,TRUE,TRUE
9/19/21,2021,2,CHI,,,CIN,,,FALSE,FALSE
9/19/21,2021,2,CLE,,,HOU,,,FALSE,TRUE
9/19/21,2021,2,IND,,,LAR,,,FALSE,FALSE
9/19/21,2021,2,JAX,,,DEN,,,FALSE,TRUE
9/19/21,2021,2,MIA,,,BUF,,,TRUE,TRUE
9/19/21,2021,2,NYJ,,,NE,,,TRUE,TRUE
9/19/21,2021,2,PHI,,,SF,,,FALSE,TRUE
9/19/21,2021,2,PIT,,,LVR,,,FALSE,TRUE
9/19/21,2021,2,ARI,,,MIN,,,FALSE,TRUE
9/19/21,2021,2,TB,,,ATL,,,TRUE,TRUE
9/19/21,2021,2,LAC,,,DAL,,,FALSE,FALSE
9/19/21,2021,2,SEA,,,TEN,,,FALSE,FALSE
9/19/21,2021,2,BAL,,,KC,,,FALSE,TRUE
9/20/21,2021,2,GB,,,DET,,,TRUE,TRUE
9/23/21,2021,3,HOU,,,CAR,,,FALSE,FALSE
9/26/21,2021,3,BUF,,,WAS,,,FALSE,FALSE
9/26/21,2021,3,CLE,,,CHI,,,FALSE,FALSE
9/26/21,2021,3,DET,,,BAL,,,FALSE,FALSE
9/26/21,2021,3,JAX,,,ARI,,,FALSE,FALSE
9/26/21,2021,3,KC,,,LAC,,,TRUE,TRUE
9/26/21,2021,3,NE,,,NO,,,FALSE,FALSE
9/26/21,2021,3,NYG,,,ATL,,,FALSE,TRUE
9/26/21,2021,3,TEN,,,IND,,,TRUE,TRUE
9/26/21,2021,3,PIT,,,CIN,,,TRUE,TRUE
9/26/21,2021,3,DEN,,,NYJ,,,FALSE,TRUE
9/26/21,2021,3,LVR,,,MIA,,,FALSE,TRUE
9/26/21,2021,3,MIN,,,SEA,,,FALSE,TRUE
9/26/21,2021,3,LAR,,,TB,,,FALSE,TRUE
9/26/21,2021,3,SF,,,GB,,,FALSE,TRUE
9/27/21,2021,3,DAL,,,PHI,,,TRUE,TRUE
9/30/21,2021,4,CIN,,,JAX,,,FALSE,TRUE
10/3/21,2021,4,ATL,,,WAS,,,FALSE,TRUE
10/3/21,2021,4,BUF,,,HOU,,,FALSE,TRUE
10/3/21,2021,4,CHI,,,DET,,,TRUE,TRUE
10/3/21,2021,4,DAL,,,CAR,,,FALSE,TRUE
10/3/21,2021,4,MIA,,,IND,,,FALSE,TRUE
10/3/21,2021,4,MIN,,,CLE,,,FALSE,FALSE
10/3/21,2021,4,NO,,,NYG,,,FALSE,TRUE
10/3/21,2021,4,NYJ,,,TEN,,,FALSE,TRUE
10/3/21,2021,4,PHI,,,KC,,,FALSE,FALSE
10/3/21,2021,4,LAR,,,ARI,,,TRUE,TRUE
10/3/21,2021,4,SF,,,SEA,,,TRUE,TRUE
10/3/21,2021,4,DEN,,,BAL,,,FALSE,TRUE
10/3/21,2021,4,GB,,,PIT,,,FALSE,FALSE
10/3/21,2021,4,NE,,,TB,,,FALSE,FALSE
10/4/21,2021,4,LAC,,,LVR,,,TRUE,TRUE
10/7/21,2021,5,SEA,,,LAR,,,TRUE,TRUE
10/10/21,2021,5,ATL,,,NYJ,,,FALSE,FALSE
10/10/21,2021,5,CAR,,,PHI,,,FALSE,TRUE
10/10/21,2021,5,CIN,,,GB,,,FALSE,FALSE
10/10/21,2021,5,HOU,,,NE,,,FALSE,TRUE
10/10/21,2021,5,JAX,,,TEN,,,TRUE,TRUE
10/10/21,2021,5,MIN,,,DET,,,TRUE,TRUE
10/10/21,2021,5,PIT,,,DEN,,,FALSE,TRUE
10/10/21,2021,5,TB,,,MIA,,,FALSE,FALSE
10/10/21,2021,5,WAS,,,NO,,,FALSE,TRUE
10/10/21,2021,5,LVR,,,CHI,,,FALSE,FALSE
10/10/21,2021,5,LAC,,,CLE,,,FALSE,TRUE
10/10/21,2021,5,ARI,,,SF,,,TRUE,TRUE
10/10/21,2021,5,DAL,,,NYG,,,TRUE,TRUE
10/10/21,2021,5,KC,,,BUF,,,FALSE,TRUE
10/11/21,2021,5,BAL,,,IND,,,FALSE,TRUE
10/14/21,2021,6,PHI,,,TB,,,FALSE,TRUE
10/17/21,2021,6,JAX,,,MIA,,,FALSE,TRUE
10/17/21,2021,6,CAR,,,MIN,,,FALSE,TRUE
10/17/21,2021,6,CHI,,,GB,,,TRUE,TRUE
10/17/21,2021,6,IND,,,HOU,,,TRUE,TRUE
10/17/21,2021,6,DET,,,CIN,,,FALSE,FALSE
10/17/21,2021,6,NYG,,,LAR,,,FALSE,TRUE
10/17/21,2021,6,BAL,,,LAC,,,FALSE,TRUE
10/17/21,2021,6,WAS,,,KC,,,FALSE,FALSE
10/17/21,2021,6,CLE,,,ARI,,,FALSE,FALSE
10/17/21,2021,6,DEN,,,LVR,,,TRUE,TRUE
10/17/21,2021,6,NE,,,DAL,,,FALSE,FALSE
10/17/21,2021,6,PIT,,,SEA,,,FALSE,FALSE
10/18/21,2021,6,TEN,,,BUF,,,FALSE,TRUE
10/21/21,2021,7,CLE,,,DEN,,,FALSE,TRUE
10/24/21,2021,7,GB,,,WAS,,,FALSE,TRUE
10/24/21,2021,7,MIA,,,ATL,,,FALSE,FALSE
10/24/21,2021,7,NE,,,NYJ,,,TRUE,TRUE
10/24/21,2021,7,NYG,,,CAR,,,FALSE,TRUE
10/24/21,2021,7,TEN,,,KC,,,FALSE,TRUE
10/24/21,2021,7,BAL,,,CIN,,,TRUE,TRUE
10/24/21,2021,7,LVR,,,PHI,,,FALSE,FALSE
10/24/21,2021,7,LAR,,,DET,,,FALSE,TRUE
10/24/21,2021,7,ARI,,,HOU,,,FALSE,FALSE
10/24/21,2021,7,TB,,,CHI,,,FALSE,TRUE
10/24/21,2021,7,SF,,,IND,,,FALSE,FALSE
10/25/21,2021,7,SEA,,,NO,,,FALSE,TRUE
10/28/21,2021,8,ARI,,,GB,,,FALSE,TRUE
10/31/21,2021,8,ATL,,,CAR,,,TRUE,TRUE
10/31/21,2021,8,BUF,,,MIA,,,TRUE,TRUE
10/31/21,2021,8,CHI,,,SF,,,FALSE,TRUE
10/31/21,2021,8,CLE,,,PIT,,,TRUE,TRUE
10/31/21,2021,8,IND,,,TEN,,,TRUE,TRUE
10/31/21,2021,8,DET,,,PHI,,,FALSE,TRUE
10/31/21,2021,8,HOU,,,LAR,,,FALSE,FALSE
10/31/21,2021,8,NYJ,,,CIN,,,FALSE,TRUE
10/31/21,2021,8,LAC,,,NE,,,FALSE,TRUE
10/31/21,2021,8,SEA,,,JAX,,,FALSE,FALSE
10/31/21,2021,8,DEN,,,WAS,,,FALSE,FALSE
10/31/21,2021,8,NO,,,TB,,,TRUE,TRUE
10/31/21,2021,8,MIN,,,DAL,,,FALSE,TRUE
11/1/21,2021,8,KC,,,NYG,,,FALSE,FALSE
11/4/21,2021,9,IND,,,NYJ,,,FALSE,TRUE
11/7/21,2021,9,CAR,,,NE,,,FALSE,FALSE
11/7/21,2021,9,CIN,,,CLE,,,TRUE,TRUE
11/7/21,2021,9,DAL,,,DEN,,,FALSE,FALSE
11/7/21,2021,9,JAX,,,BUF,,,FALSE,TRUE
11/7/21,2021,9,MIA,,,HOU,,,FALSE,TRUE
11/7/21,2021,9,NO,,,ATL,,,TRUE,TRUE
11/7/21,2021,9,NYG,,,LVR,,,FALSE,FALSE
11/7/21,2021,9,BAL,,,MIN,,,FALSE,FALSE
11/7/21,2021,9,PHI,,,LAC,,,FALSE,FALSE
11/7/21,2021,9,KC,,,GB,,,FALSE,FALSE
11/7/21,2021,9,SF,,,ARI,,,TRUE,TRUE
11/7/21,2021,9,LAR,,,TEN,,,FALSE,FALSE
11/8/21,2021,9,PIT,,,CHI,,,FALSE,FALSE
11/11/21,2021,10,MIA,,,BAL,,,FALSE,TRUE
11/14/21,2021,10,IND,,,JAX,,,TRUE,TRUE
11/14/21,2021,10,DAL,,,ATL,,,FALSE,TRUE
11/14/21,2021,10,NE,,,CLE,,,FALSE,TRUE
11/14/21,2021,10,NYJ,,,BUF,,,TRUE,TRUE
11/14/21,2021,10,TEN,,,NO,,,FALSE,FALSE
11/14/21,2021,10,PIT,,,DET,,,FALSE,FALSE
11/14/21,2021,10,WAS,,,TB,,,FALSE,TRUE
11/14/21,2021,10,ARI,,,CAR,,,FALSE,TRUE
11/14/21,2021,10,LAC,,,MIN,,,FALSE,FALSE
11/14/21,2021,10,DEN,,,PHI,,,FALSE,FALSE
11/14/21,2021,10,GB,,,SEA,,,FALSE,TRUE
11/14/21,2021,10,LVR,,,KC,,,TRUE,TRUE
11/15/21,2021,10,SF,,,LAR,,,TRUE,TRUE
11/18/21,2021,11,ATL,,,NE,,,FALSE,FALSE
11/21/21,2021,11,BUF,,,IND,,,FALSE,TRUE
11/21/21,2021,11,CAR,,,WAS,,,FALSE,TRUE
11/21/21,2021,11,CHI,,,BAL,,,FALSE,FALSE
11/21/21,2021,11,CLE,,,DET,,,FALSE,FALSE
11/21/21,2021,11,JAX,,,SF,,,FALSE,FALSE
11/21/21,2021,11,MIN,,,GB,,,TRUE,TRUE
11/21/21,2021,11,NYJ,,,MIA,,,TRUE,TRUE
11/21/21,2021,11,TEN,,,HOU,,,TRUE,TRUE
11/21/21,2021,11,PHI,,,NO,,,FALSE,TRUE
11/21/21,2021,11,LVR,,,CIN,,,FALSE,TRUE
11/21/21,2021,11,KC,,,DAL,,,FALSE,FALSE
